Shape ID,Area (pixels)
1,554036
2,2137
3,9
4,328
5,3927
6,10
7,140
8,798
9,12068
10,312
11,3096
12,966
13,106
14,4785
15,6241
16,791
17,674
18,1509
19,948
20,200
21,1059
22,47
23,366
24,2592
25,715
26,2014
27,1224
28,202
29,20
30,859
31,455
32,155
33,282
34,20638
35,1480
36,1492
37,292
38,4171
39,105
40,268
41,623
42,1752
43,2370
44,3954
45,3014
46,31
47,4326
48,1877
49,3693
50,291
51,1124
52,31042
53,19
54,3501
55,2752
56,656
57,2832
58,1284
59,857
60,348
61,352
62,28447
63,1953
64,4089
65,822
66,68008
67,30
68,41
69,12
70,891
71,204
72,2804
73,65
74,32325
75,765
76,44
77,898
78,512
79,1805
80,2253
81,1130
82,1587
83,1139
84,141
85,1722
86,1189
87,601
88,1144
89,147
90,1074
91,1766
92,1556
93,1119
94,779
95,4423
96,41414
97,390
98,1790
99,1281
100,614
101,479
102,553
103,9794
104,315
105,1585
106,7724
107,450
108,1116
109,279
110,512
111,919
112,226
113,927
114,3430
115,61
116,243
117,249
118,3547
119,97
120,2108
121,833
122,4815
123,28
124,3530
125,622
126,1608
127,25
128,295
129,116
130,1781
131,1536
132,3224
133,1333
134,284
135,364
136,128
137,2117
138,818
139,806
140,3337
141,10293
142,621
143,58
144,948
145,8520
146,2841
147,306
148,3166
149,1986
150,865
151,19518
152,2614
153,1749
154,2683
155,493
156,23170
157,2033
158,1636
159,681
160,1927
161,264
162,5576
163,2638
164,608
165,11775
166,2087
167,1394
168,334
169,526
170,302
171,543
172,895
173,309
174,165
175,10406
176,5065
177,445
178,226
179,88
180,1243
181,1764
182,17836
183,115
184,84
185,2615
186,275
187,36
188,2185
189,7802
190,12
191,14761
192,957
193,9933
194,7923
195,3107
196,4959
197,9571
198,206
199,10
200,784
201,2880
202,2518
203,2292
204,581
205,23171
206,1471
207,398
208,3123
209,1197
210,3806
211,690
212,27
213,290
214,1673
215,314
216,259
217,3122
218,4179
219,337
220,4959
221,389
222,5189
223,1075
224,5680
225,307
226,323
227,3825
228,53
229,26618
230,832
231,602
232,2053
233,10020
234,933
235,17179
236,3501
237,2667
238,2307
239,12726
240,2858
241,4830
242,1514
243,759
244,1292
245,842
246,2344
247,912
248,509
249,653
250,71
251,18574
252,1167
253,398
254,186
255,925
256,1573
257,268
258,3070
259,5097
260,12818
261,376
262,1599
263,12433
264,2792
265,1022
266,4183
267,5442
268,50
269,398
270,147
271,1450
272,1603
273,1939
274,2656
275,4948
276,1087
277,31397
278,3435
279,1389
280,68
281,462
282,409
283,112
284,293
285,2106
286,2063
287,1846
288,745
289,176
290,2399
291,17043
292,1382
293,4883
294,4959
295,4789
296,3473
297,6913
298,988
299,446
300,46
301,8589
302,250
303,39
304,1771
305,536
306,3504
307,945
308,2791
309,319
310,639
311,2141
312,1384
313,139
314,486
315,1101
316,2899
317,140
318,119335
319,1886
320,400
321,832
322,544
323,1454
324,2293
325,25
326,333
327,2277
328,2503
329,163
330,290
331,10131
332,896
333,6794
334,106
335,223
336,7413
337,89
338,7352
339,1563
340,2609
341,19943
342,2386
343,15
344,532
345,636
346,38685
347,138
348,556
349,2927
350,885
351,2070
352,251
353,290
354,431
355,8371
356,4208
357,203
358,49
359,2983
360,1520
361,2207
362,181
363,94
364,527
365,2086
366,2570
367,2741
368,1406
369,833
370,4167
371,3241
372,49
373,1751
374,1007
375,342
376,673
377,279
378,20741
379,1283
380,5665
381,5959
382,3183
383,335
384,276
385,1804
386,3041
387,1229
388,709
389,1512
390,155
391,717
392,663
393,7222
394,5751
395,956
396,556
397,554
398,547
399,713
400,34038
401,36
402,2467
403,7289
404,4358
405,192
406,562
407,597
408,23332
409,695
410,15357
411,449
412,1075
413,3938
414,1401
415,1633
416,5436
417,457
418,1023
419,1087
420,1787
421,6058
422,562
423,470
424,215
425,2674
426,7903
427,43
428,90
429,65
430,799
431,486
432,16
433,351
434,8585
435,21271
436,2672
437,1670
438,4346
439,3175
440,209
441,18138
442,2252
443,185
444,1911
445,1247
446,5568
447,1094
448,5148
449,395
450,863
451,58881
452,305
453,352
454,183
455,6034
456,872
457,74
458,268
459,3749
460,9676
461,675
462,1646
463,122
464,3172
465,2496
466,118
467,18
468,3915
469,1278
470,656
471,5608
472,462
473,543
474,170
475,1705
476,9833
477,948
478,3534
479,1134
480,660
481,10757
482,195
483,1792
484,3095
485,249
486,4138
487,2899
488,118
489,1221
490,3402
491,32
492,609
493,17466
494,626
495,113
496,18529
497,5828
498,3050
499,583
500,882
501,110
502,1192
503,34
504,2479
505,9085
506,5275
507,2028
508,2349
509,1762
510,1157
511,5142
512,1624
513,888
514,1661
515,961
516,18
517,701
518,1990
519,752
520,623
521,1017
522,829
523,298
524,770
525,205
